Disk Block Size iZ25qtxwjqdZ,xvda,xvda1,xvdb,xvdb1
2015-12-09 14:15:01,25.0,25.5,4.0,0.0
2015-12-09 14:15:02,0.0,0.0,0.0,0.0
2015-12-09 14:15:03,0.0,0.0,43.6,43.6
2015-12-09 14:15:04,0.0,0.0,42.5,42.5
2015-12-09 14:15:05,25.0,25.0,0.0,0.0
2015-12-09 14:15:06,0.0,0.0,0.0,0.0
2015-12-09 14:15:07,0.0,0.0,0.0,0.0
2015-12-09 14:15:08,0.0,0.0,43.5,43.5
2015-12-09 14:15:09,0.0,0.0,43.2,43.2
2015-12-09 14:15:10,0.0,0.0,0.0,0.0
2015-12-09 14:15:11,6.0,6.0,0.0,0.0
2015-12-09 14:15:12,0.0,0.0,0.0,0.0
2015-12-09 14:15:13,0.0,0.0,43.3,43.3
2015-12-09 14:15:14,0.0,0.0,41.8,41.8
2015-12-09 14:15:15,0.0,0.0,0.0,0.0
2015-12-09 14:15:16,12.0,12.0,0.0,0.0
2015-12-09 14:15:17,0.0,0.0,0.0,0.0
2015-12-09 14:15:18,0.0,0.0,43.1,43.1
2015-12-09 14:15:19,0.0,0.0,43.0,43.0
2015-12-09 14:15:20,0.0,0.0,0.0,0.0
2015-12-09 14:15:21,6.0,6.0,0.0,0.0
2015-12-09 14:15:22,0.0,0.0,0.0,0.0
2015-12-09 14:15:23,0.0,0.0,42.9,42.9
2015-12-09 14:15:24,8.0,8.0,43.5,43.5
2015-12-09 14:15:25,0.0,0.0,0.0,0.0
2015-12-09 14:15:26,8.0,8.0,0.0,0.0
2015-12-09 14:15:27,0.0,0.0,0.0,0.0
2015-12-09 14:15:28,0.0,0.0,43.4,43.4
2015-12-09 14:15:29,4.0,4.0,43.3,43.3
2015-12-09 14:15:30,0.0,0.0,0.0,0.0
2015-12-09 14:15:31,6.0,6.0,0.0,0.0
2015-12-09 14:15:32,0.0,0.0,0.0,0.0
2015-12-09 14:15:33,0.0,0.0,44.0,44.0
2015-12-09 14:15:34,5.6,5.6,43.7,43.7
2015-12-09 14:15:35,0.0,0.0,0.0,0.0
2015-12-09 14:15:36,12.0,12.0,0.0,0.0
2015-12-09 14:15:37,0.0,0.0,0.0,0.0
2015-12-09 14:15:38,0.0,0.0,44.0,44.0
2015-12-09 14:15:39,0.0,0.0,43.3,43.3
2015-12-09 14:15:40,0.0,0.0,0.0,0.0
2015-12-09 14:15:41,6.0,6.0,0.0,0.0
2015-12-09 14:15:42,0.0,0.0,0.0,0.0
2015-12-09 14:15:43,0.0,0.0,43.6,43.6
2015-12-09 14:15:44,0.0,0.0,43.6,43.6
2015-12-09 14:15:45,0.0,0.0,0.0,0.0
2015-12-09 14:15:46,0.0,0.0,0.0,0.0
2015-12-09 14:15:47,6.0,6.0,0.0,0.0
2015-12-09 14:15:48,0.0,0.0,43.8,43.8
2015-12-09 14:15:49,0.0,0.0,42.7,42.7
2015-12-09 14:15:50,0.0,0.0,0.0,0.0
2015-12-09 14:15:51,0.0,0.0,0.0,0.0
2015-12-09 14:15:52,6.0,6.0,0.0,0.0
2015-12-09 14:15:53,0.0,0.0,43.6,43.6
2015-12-09 14:15:54,6.0,6.0,43.8,43.8
2015-12-09 14:15:55,0.0,0.0,4.0,4.0
2015-12-09 14:15:56,0.0,0.0,0.0,0.0
2015-12-09 14:15:57,8.0,8.0,0.0,0.0
2015-12-09 14:15:58,0.0,0.0,43.8,43.8
2015-12-09 14:15:59,0.0,0.0,43.4,43.4
2015-12-09 14:16:00,0.0,0.0,0.0,0.0
2015-12-09 14:16:01,0.0,0.0,0.0,0.0
2015-12-09 14:16:02,6.0,6.0,0.0,0.0
2015-12-09 14:16:03,0.0,0.0,44.0,44.0
2015-12-09 14:16:04,0.0,0.0,43.5,43.5
2015-12-09 14:16:05,0.0,0.0,0.0,0.0
2015-12-09 14:16:06,0.0,0.0,0.0,0.0
2015-12-09 14:16:07,6.0,6.0,0.0,0.0
2015-12-09 14:16:08,0.0,0.0,43.7,43.7
2015-12-09 14:16:09,8.0,8.0,43.7,43.7
2015-12-09 14:16:10,0.0,0.0,0.0,0.0
2015-12-09 14:16:11,0.0,0.0,0.0,0.0
2015-12-09 14:16:12,10.0,10.0,0.0,0.0
2015-12-09 14:16:13,0.0,0.0,43.6,43.6
2015-12-09 14:16:14,0.0,0.0,43.4,43.4
2015-12-09 14:16:15,0.0,0.0,0.0,0.0
2015-12-09 14:16:16,0.0,0.0,0.0,0.0
2015-12-09 14:16:17,6.0,6.0,0.0,0.0
2015-12-09 14:16:18,0.0,0.0,43.8,43.8
2015-12-09 14:16:19,0.0,0.0,43.5,43.5
2015-12-09 14:16:20,0.0,0.0,0.0,0.0
2015-12-09 14:16:21,0.0,0.0,0.0,0.0
2015-12-09 14:16:22,8.0,8.0,4.0,4.0
2015-12-09 14:16:23,0.0,0.0,44.0,44.0
2015-12-09 14:16:24,6.0,6.0,43.1,43.1
2015-12-09 14:16:25,0.0,0.0,0.0,0.0
2015-12-09 14:16:26,0.0,0.0,0.0,0.0
2015-12-09 14:16:27,8.0,8.0,0.0,0.0
2015-12-09 14:16:28,0.0,0.0,43.9,43.9
2015-12-09 14:16:29,0.0,0.0,43.7,43.7
2015-12-09 14:16:30,0.0,0.0,0.0,0.0
2015-12-09 14:16:31,0.0,0.0,0.0,0.0
2015-12-09 14:16:32,6.0,6.0,0.0,0.0
2015-12-09 14:16:33,0.0,0.0,43.5,43.5
2015-12-09 14:16:34,0.0,0.0,43.7,43.7
2015-12-09 14:16:35,0.0,0.0,0.0,0.0
2015-12-09 14:16:36,0.0,0.0,0.0,0.0
2015-12-09 14:16:37,6.0,6.0,0.0,0.0
2015-12-09 14:16:38,0.0,0.0,43.7,43.7
2015-12-09 14:16:39,0.0,0.0,43.4,43.4
2015-12-09 14:16:40,0.0,0.0,0.0,0.0
2015-12-09 14:16:41,0.0,0.0,0.0,0.0
2015-12-09 14:16:42,6.0,6.0,0.0,0.0
2015-12-09 14:16:43,0.0,0.0,43.9,43.9
2015-12-09 14:16:44,12.0,12.0,43.3,43.3
2015-12-09 14:16:45,0.0,0.0,0.0,0.0
2015-12-09 14:16:46,0.0,0.0,0.0,0.0
2015-12-09 14:16:47,10.0,10.0,0.0,0.0
2015-12-09 14:16:48,0.0,0.0,43.6,43.6
2015-12-09 14:16:49,0.0,0.0,43.6,43.6
2015-12-09 14:16:50,0.0,0.0,0.0,0.0
2015-12-09 14:16:51,0.0,0.0,0.0,0.0
2015-12-09 14:16:52,6.0,6.0,0.0,0.0
2015-12-09 14:16:53,0.0,0.0,43.8,43.8
2015-12-09 14:16:54,5.3,5.3,43.5,43.5
2015-12-09 14:16:55,0.0,0.0,0.0,0.0
2015-12-09 14:16:56,0.0,0.0,0.0,0.0
2015-12-09 14:16:57,0.0,0.0,0.0,0.0
2015-12-09 14:16:58,8.0,8.0,43.5,43.5
2015-12-09 14:16:59,0.0,0.0,43.2,43.2
2015-12-09 14:17:00,0.0,0.0,0.0,0.0
2015-12-09 14:17:01,0.0,0.0,0.0,0.0
2015-12-09 14:17:02,0.0,0.0,0.0,0.0
2015-12-09 14:17:03,0.0,0.0,43.7,43.7
2015-12-09 14:17:04,8.0,8.0,43.6,43.6
2015-12-09 14:17:05,0.0,0.0,0.0,0.0
2015-12-09 14:17:06,0.0,0.0,0.0,0.0
2015-12-09 14:17:07,0.0,0.0,0.0,0.0
2015-12-09 14:17:08,0.0,0.0,43.8,43.8
2015-12-09 14:17:09,0.0,0.0,43.7,43.7
2015-12-09 14:17:10,6.0,6.0,0.0,0.0
2015-12-09 14:17:11,0.0,0.0,0.0,0.0
2015-12-09 14:17:12,0.0,0.0,0.0,0.0
2015-12-09 14:17:13,0.0,0.0,43.5,43.5
2015-12-09 14:17:14,0.0,0.0,43.6,43.6
2015-12-09 14:17:15,0.0,0.0,0.0,0.0
2015-12-09 14:17:16,6.0,6.0,0.0,0.0
2015-12-09 14:17:17,0.0,0.0,0.0,0.0
2015-12-09 14:17:18,0.0,0.0,43.7,43.7
2015-12-09 14:17:19,12.0,12.0,43.6,43.6
2015-12-09 14:17:20,0.0,0.0,0.0,0.0
2015-12-09 14:17:21,0.0,0.0,0.0,0.0
2015-12-09 14:17:22,10.0,10.0,0.0,0.0
2015-12-09 14:17:23,0.0,0.0,43.7,43.7
2015-12-09 14:17:24,6.0,6.0,43.1,43.1
2015-12-09 14:17:25,0.0,0.0,0.0,0.0
2015-12-09 14:17:26,0.0,0.0,0.0,0.0
2015-12-09 14:17:27,0.0,0.0,0.0,0.0
2015-12-09 14:17:28,8.0,8.0,44.0,44.0
2015-12-09 14:17:29,0.0,0.0,43.5,43.5
2015-12-09 14:17:30,0.0,0.0,0.0,0.0
2015-12-09 14:17:31,0.0,0.0,0.0,0.0
2015-12-09 14:17:32,0.0,0.0,0.0,0.0
2015-12-09 14:17:33,0.0,0.0,43.6,43.6
2015-12-09 14:17:34,5.3,5.3,43.2,43.2
2015-12-09 14:17:35,0.0,0.0,0.0,0.0
2015-12-09 14:17:36,0.0,0.0,0.0,0.0
2015-12-09 14:17:37,0.0,0.0,0.0,0.0
2015-12-09 14:17:38,0.0,0.0,43.2,43.2
2015-12-09 14:17:39,8.0,8.0,43.7,43.7
2015-12-09 14:17:40,0.0,0.0,0.0,0.0
2015-12-09 14:17:41,0.0,0.0,0.0,0.0
2015-12-09 14:17:42,0.0,0.0,0.0,0.0
2015-12-09 14:17:43,0.0,0.0,44.0,44.0
2015-12-09 14:17:44,6.0,6.0,43.6,43.6
2015-12-09 14:17:45,0.0,0.0,0.0,0.0
2015-12-09 14:17:46,0.0,0.0,0.0,0.0
2015-12-09 14:17:47,0.0,0.0,0.0,0.0
2015-12-09 14:17:48,0.0,0.0,43.9,43.9
2015-12-09 14:17:49,6.0,6.0,43.6,43.6
2015-12-09 14:17:50,0.0,0.0,0.0,0.0
2015-12-09 14:17:51,0.0,0.0,0.0,0.0
2015-12-09 14:17:52,0.0,0.0,0.0,0.0
2015-12-09 14:17:53,0.0,0.0,43.8,43.8
2015-12-09 14:17:54,9.1,9.1,43.5,43.5
2015-12-09 14:17:55,0.0,0.0,0.0,0.0
2015-12-09 14:17:56,0.0,0.0,0.0,0.0
2015-12-09 14:17:57,0.0,0.0,0.0,0.0
2015-12-09 14:17:58,0.0,0.0,43.5,43.5
2015-12-09 14:17:59,12.0,12.0,43.5,43.5
2015-12-09 14:18:00,0.0,0.0,0.0,0.0
2015-12-09 14:18:01,0.0,0.0,0.0,0.0
2015-12-09 14:18:02,0.0,0.0,4.0,4.0
2015-12-09 14:18:03,0.0,0.0,43.8,43.8
2015-12-09 14:18:04,6.0,6.0,43.6,43.6
2015-12-09 14:18:05,0.0,0.0,0.0,0.0
2015-12-09 14:18:06,0.0,0.0,0.0,0.0
2015-12-09 14:18:07,0.0,0.0,0.0,0.0
2015-12-09 14:18:08,0.0,0.0,44.0,44.0
2015-12-09 14:18:09,5.3,5.3,43.3,43.3
2015-12-09 14:18:10,0.0,0.0,0.0,0.0
2015-12-09 14:18:11,0.0,0.0,0.0,0.0
2015-12-09 14:18:12,0.0,0.0,0.0,0.0
2015-12-09 14:18:13,0.0,0.0,43.5,43.5
2015-12-09 14:18:14,6.0,6.0,43.7,43.7
2015-12-09 14:18:15,0.0,0.0,0.0,0.0
2015-12-09 14:18:16,0.0,0.0,0.0,0.0
2015-12-09 14:18:17,0.0,0.0,0.0,0.0
2015-12-09 14:18:18,0.0,0.0,44.0,44.0
2015-12-09 14:18:19,0.0,0.0,43.4,43.4
2015-12-09 14:18:20,6.0,6.0,0.0,0.0
2015-12-09 14:18:21,0.0,0.0,0.0,0.0
2015-12-09 14:18:22,0.0,0.0,0.0,0.0
2015-12-09 14:18:23,0.0,0.0,43.0,43.0
2015-12-09 14:18:24,16.0,16.0,43.6,43.6
2015-12-09 14:18:25,0.0,0.0,0.0,0.0
2015-12-09 14:18:26,10.0,10.0,0.0,0.0
2015-12-09 14:18:27,0.0,0.0,0.0,0.0
2015-12-09 14:18:28,0.0,0.0,43.8,43.8
2015-12-09 14:18:29,12.0,12.0,43.6,43.6
2015-12-09 14:18:30,0.0,0.0,0.0,0.0
2015-12-09 14:18:31,10.0,10.0,0.0,0.0
2015-12-09 14:18:32,0.0,0.0,0.0,0.0
2015-12-09 14:18:33,0.0,0.0,43.8,43.8
2015-12-09 14:18:34,5.6,5.6,43.5,43.5
2015-12-09 14:18:35,0.0,0.0,0.0,0.0
2015-12-09 14:18:36,12.0,12.0,0.0,0.0
2015-12-09 14:18:37,0.0,0.0,0.0,0.0
2015-12-09 14:18:38,0.0,0.0,44.0,44.0
2015-12-09 14:18:39,6.4,6.4,42.7,42.7
2015-12-09 14:18:40,0.0,0.0,0.0,0.0
2015-12-09 14:18:41,14.0,14.0,0.0,0.0
2015-12-09 14:18:42,0.0,0.0,0.0,0.0
2015-12-09 14:18:43,0.0,0.0,43.7,43.7
2015-12-09 14:18:44,6.4,6.4,43.5,43.5
2015-12-09 14:18:45,0.0,0.0,0.0,0.0
2015-12-09 14:18:46,12.0,12.0,0.0,0.0
2015-12-09 14:18:47,0.0,0.0,0.0,0.0
2015-12-09 14:18:48,0.0,0.0,43.8,43.8
2015-12-09 14:18:49,0.0,0.0,43.3,43.3
2015-12-09 14:18:50,0.0,0.0,0.0,0.0
2015-12-09 14:18:51,0.0,0.0,0.0,0.0
2015-12-09 14:18:52,6.0,6.0,0.0,0.0
2015-12-09 14:18:53,0.0,0.0,43.7,43.7
2015-12-09 14:18:54,0.0,0.0,43.4,43.4
2015-12-09 14:18:55,0.0,0.0,0.0,0.0
2015-12-09 14:18:56,0.0,0.0,0.0,0.0
2015-12-09 14:18:57,6.0,6.0,0.0,0.0
2015-12-09 14:18:58,0.0,0.0,43.8,43.8
2015-12-09 14:18:59,0.0,0.0,43.5,43.5
2015-12-09 14:19:00,0.0,0.0,0.0,0.0
2015-12-09 14:19:01,0.0,0.0,0.0,0.0
2015-12-09 14:19:02,6.0,6.0,0.0,0.0
2015-12-09 14:19:03,0.0,0.0,43.7,43.7
2015-12-09 14:19:04,0.0,0.0,43.4,43.4
2015-12-09 14:19:05,0.0,0.0,0.0,0.0
2015-12-09 14:19:06,0.0,0.0,0.0,0.0
2015-12-09 14:19:07,8.0,8.0,0.0,0.0
2015-12-09 14:19:08,0.0,0.0,44.0,44.0
2015-12-09 14:19:09,0.0,0.0,43.6,43.6
2015-12-09 14:19:10,0.0,0.0,4.0,4.0
2015-12-09 14:19:11,0.0,0.0,0.0,0.0
2015-12-09 14:19:12,0.0,0.0,0.0,0.0
2015-12-09 14:19:13,6.0,6.0,43.5,43.5
2015-12-09 14:19:14,8.0,8.0,43.6,43.6
2015-12-09 14:19:15,0.0,0.0,0.0,0.0
2015-12-09 14:19:16,0.0,0.0,0.0,0.0
2015-12-09 14:19:17,0.0,0.0,0.0,0.0
2015-12-09 14:19:18,0.0,0.0,43.9,43.9
2015-12-09 14:19:19,10.4,10.4,43.0,43.0
2015-12-09 14:19:20,0.0,0.0,0.0,0.0
2015-12-09 14:19:21,0.0,0.0,0.0,0.0
2015-12-09 14:19:22,0.0,0.0,0.0,0.0
2015-12-09 14:19:23,0.0,0.0,44.0,44.0
2015-12-09 14:19:24,8.0,8.0,43.6,43.6
2015-12-09 14:19:25,0.0,0.0,0.0,0.0
2015-12-09 14:19:26,0.0,0.0,0.0,0.0
2015-12-09 14:19:27,0.0,0.0,0.0,0.0
2015-12-09 14:19:28,0.0,0.0,43.8,43.8
2015-12-09 14:19:29,9.6,9.6,43.5,43.5
2015-12-09 14:19:30,0.0,0.0,0.0,0.0
2015-12-09 14:19:31,0.0,0.0,0.0,0.0
2015-12-09 14:19:32,0.0,0.0,0.0,0.0
2015-12-09 14:19:33,0.0,0.0,43.9,43.9
2015-12-09 14:19:34,6.5,6.5,43.5,43.5
2015-12-09 14:19:35,0.0,0.0,0.0,0.0
2015-12-09 14:19:36,0.0,0.0,0.0,0.0
2015-12-09 14:19:37,0.0,0.0,0.0,0.0
2015-12-09 14:19:38,0.0,0.0,44.0,44.0
2015-12-09 14:19:39,9.3,9.3,43.6,43.6
2015-12-09 14:19:40,0.0,0.0,0.0,0.0
2015-12-09 14:19:41,0.0,0.0,0.0,0.0
2015-12-09 14:19:42,0.0,0.0,0.0,0.0
2015-12-09 14:19:43,0.0,0.0,43.7,43.7
2015-12-09 14:19:44,12.0,12.0,43.6,43.6
2015-12-09 14:19:45,0.0,0.0,0.0,0.0
2015-12-09 14:19:46,0.0,0.0,0.0,0.0
2015-12-09 14:19:47,0.0,0.0,0.0,0.0
2015-12-09 14:19:48,0.0,0.0,43.8,43.8
