Processes iZ25qtxwjqdZ,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2015-12-09 14:15:01,1,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:02,2,0,14879.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:03,1,2,14594.3,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
2015-12-09 14:15:04,4,0,14399.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2015-12-09 14:15:05,1,0,16339.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:06,2,0,17347.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:07,6,0,17503.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:08,1,3,17477.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:09,5,0,14242.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:10,5,0,18495.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:11,2,0,19764.8,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
2015-12-09 14:15:12,1,0,19482.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:13,1,2,19081.5,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0
2015-12-09 14:15:14,2,0,17207.3,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
2015-12-09 14:15:15,5,0,20606.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:16,5,0,21819.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:17,2,0,22028.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:18,3,2,21629.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:19,1,0,15312.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:20,1,0,22094.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:21,1,0,23328.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:22,6,0,21604.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0
2015-12-09 14:15:23,5,1,23167.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:24,2,0,23130.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:25,2,0,24159.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:26,3,0,25495.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:27,3,0,24658.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:28,4,2,24767.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:29,3,0,22300.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:30,1,0,24887.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:31,1,0,26978.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:32,1,0,26113.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:33,4,2,26235.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:34,1,0,25241.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:35,2,0,26555.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:36,3,0,28349.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:37,3,0,28963.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:38,1,3,27456.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:39,1,0,20675.5,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0
2015-12-09 14:15:40,3,0,28846.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:41,6,0,28835.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:42,6,0,28607.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:43,2,2,29225.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:44,4,0,17995.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:45,1,0,28696.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:46,2,0,30637.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:47,10,0,30310.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:48,2,2,29045.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:49,3,0,25726.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:50,8,0,24824.7,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2015-12-09 14:15:51,5,0,29841.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:52,3,0,30393.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:53,6,1,29854.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:54,2,0,28570.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:55,6,0,29910.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:56,3,0,32641.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:57,5,0,31440.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:58,12,1,31434.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:15:59,1,0,25967.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:00,4,0,29735.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:01,3,0,32280.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:02,9,0,31643.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:03,8,2,31784.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:04,10,0,27755.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:05,7,0,30545.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:06,1,0,32337.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:07,5,0,30708.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:08,2,1,33147.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:09,5,0,27678.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:10,4,0,31599.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:11,10,0,32338.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:12,7,0,30836.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:13,2,1,33167.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:14,3,0,28122.8,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0
2015-12-09 14:16:15,3,0,31442.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:16,1,0,30278.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:17,5,0,33138.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:18,6,1,33722.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:19,4,0,18547.2,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0
2015-12-09 14:16:20,1,0,32254.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:21,2,0,34536.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:22,5,0,32274.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:23,3,2,32786.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:24,6,0,26520.3,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0
2015-12-09 14:16:25,5,0,29964.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:26,1,0,30757.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:27,13,0,31851.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:28,8,1,31325.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:29,4,0,26877.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:30,9,0,31395.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:31,4,0,32228.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:32,8,0,31518.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:33,7,0,30286.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:34,9,0,31957.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:35,2,0,29118.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:36,1,0,31072.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:37,3,0,31958.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:38,6,1,29546.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:39,4,0,30751.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:40,6,0,32416.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:41,1,0,33338.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:42,5,0,29207.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:43,7,1,32541.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:44,2,0,25204.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:45,5,0,29959.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:46,5,0,29183.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:47,1,0,30162.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:48,2,1,28656.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:49,2,0,28195.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:50,1,0,29840.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:51,5,0,28970.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:52,4,0,23470.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:53,5,1,29129.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:54,1,0,17383.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:55,9,0,29130.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:56,5,0,31787.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:57,5,0,32915.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:58,4,1,31679.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:59,3,0,30897.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:00,2,0,31870.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:01,2,0,33718.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:02,2,0,33174.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:03,5,1,30839.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:04,1,0,30865.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:05,1,0,31434.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:06,4,0,30949.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:07,5,0,32825.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:08,2,1,30463.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:09,4,0,25336.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:10,7,0,31647.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:11,3,0,32420.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:12,4,0,35425.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:13,7,2,32489.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:14,2,0,18011.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:15,3,0,31482.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:16,3,0,30781.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:17,1,0,31953.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:18,6,1,32287.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:19,4,0,31984.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:20,2,0,33267.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:21,6,0,32502.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:22,1,0,31536.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:23,7,1,32444.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
